,title,region,number_of_rooms,quadrat,price
368,Banese me qira per zyre ( Prime Group ),Prishtine,2,80.0,350.0
369,Leshohet banese me qira te Rruga C 3+1,Prishtine,3,120.0,400.0
370,Leshohet banese me qira ne Dardani ( Santea ),Prishtine,1,65.0,350.0
371,Leshohet banese me qira ne Rrugen B 1+1,Prishtine,1,65.0,300.0
372,Garsoniere me qera ne lagjen Ulpiana,Prishtine,1,42.0,200.0
373,Super Banese me qera ne Arberi,Prishtine,1,60.0,280.0
374,Banes komode me qira ne Tophane,Prishtine,1,65.0,200.0
375,Banes me qira te Parku i Qytetit,Prishtine,2,75.0,300.0
376,Banese komode me qira te Sllovenia Sporti,Prishtine,1,55.0,250.0
377,Banes me qira ne Arberi,Prishtine,2,80.0,220.0
378,Banes me qira ne Qender komode,Prishtine,1,65.0,350.0
379,Banese me qira ne Aktash mobiluar,Prishtine,1,65.0,350.0
380,Banesa 50m2 me qira ne Ulpiane ROZI,Prishtine,1,50.0,350.0
381,Banesa 55m2 me qira ne Qender ROZI,Prishtine,1,55.0,250.0
382,Banesa 100m2 me qira te Mati 1 ROZI,Prishtine,3,100.0,520.0
383,BANESE ME QIRA AFER SHKOLLES SE RE �MIHAL GRAMENO�,Fushe Kosove,3,85.0,250.0
384,BANESE ME QIRA TE RRUGA �NENA TEREZE�,Fushe Kosove,3,86.0,220.0
385,BANESE ME QIRA MBI ELI ABI RR- DARDANIA-M.GRAMENO,Fushe Kosove,2,65.0,230.0
386,BANES� ME QIRA N� FUSH� KOSOVE� AFER �PLUS MINUS �,Fushe Kosove,2,60.0,180.0
387,BANESE ME QIRA N� FUSH� KOSOV� rr�Hajrullah Zymi �,Fushe Kosove,3,75.0,200.0
388,BANESE ME QIRA AFER SHKOLLES �MIHAL GRAMENO�,Fushe Kosove,2,67.0,250.0
389,"LOKAL ME QIRA NE FUSHE KOSOVE, TE XHAMIA E RE",Fushe Kosove,1,100.0,1000.0
390,JAP ME QIRA BANESEN NE RRUG�N �DARDANIA�,Fushe Kosove,2,65.0,220.0
391,Leshohet banesa me qira ne fushkosov tek eli ab,Fushe Kosove,1,65.0,230.0
392,jep banesen me qira ne fushkosov,Fushe Kosove,2,80.0,230.0
393,jep banesen me qira ne fushkosov,Fushe Kosove,1,65.0,180.0
394,leshohet banesa me qira ne fushkosov,Fushe Kosove,1,60.0,250.0
395,jep banesen me qira,Prishtine,1,45.0,180.0
396,jep banesen me qira,Fushe Kosove,1,67.0,200.0
397,leshohet banesa me qira ne fushkosov,Fushe Kosove,1,65.0,200.0
398,leshohet banesa me qira ne fushkosov,Fushe Kosove,1,60.0,250.0
399,jep banesen me qira ne fushkosov,Fushe Kosove,1,60.0,220.0
400,Banese me qira ne Lagje te Spitalit,Prishtine,1,53.0,250.0
401,Banese me qira ne lagjen Dardania,Prishtine,1,60.0,300.0
402,Banese me qira ne lagjen Mati 1,Prishtine,2,90.0,400.0
403,Banese me qira ne lagen Tophane,Prishtine,1,60.0,300.0
404,Banese me qira ne lagjen Bregu i Diellit,Prishtine,3,125.0,500.0
405,Banese me qira ne lagjen Arberia_1+1,Prishtine,1,65.0,320.0
406,Banese me qira ne lagjen Lakrishte_2+1,Prishtine,2,85.0,350.0
407,Banese me qira ne lagjen Arberia,Prishtine,1,65.0,350.0
408,Banese (penthouse) me qira ne lagjen Arberia,Prishtine,2,116.0,850.0
409,Banese me qira ne lagjen Rruga B_2+1,Prishtine,2,91.0,400.0
410,Banese me qira ne Lagje te Spitalit_2+1,Prishtine,2,90.0,400.0
411,Super banese me qira ne lagjen Pejton,Prishtine,3,120.0,1000.0
412,Banese me qira ne lagjen Bregu i Diellit_2+1,Prishtine,2,90.0,250.0
413,Banese me qira ne lagjen Rruga B,Prishtine,2,90.0,500.0
414,Banese me qira ne lagjen Arberi,Prishtine,3,105.0,420.0
415,Banese me qira ne lagjen Arberia,Prishtine,1,64.0,300.0
416,Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,86.0,400.0
417,Banese me qira ne lagjen Rruga C,Prishtine,2,80.0,500.0
418,Banese me qira ne lagjen Dardania_2+1,Prishtine,2,80.0,400.0
419,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,84.0,500.0
420,Banese (penthouse) me qira ne lagjen Arberi_3+1,Prishtine,3,135.0,1300.0
421,Banese (zyre) me qira ne lagjen Rruga B,Prishtine,3,176.0,800.0
422,Banese me qira ne Aktash_2+1,Prishtine,2,75.0,550.0
423,Banese me qira ne lagjen ne Dardani,Prishtine,1,50.0,300.0
424,Banese me qira ne Rrugen B,Prishtine,2,89.0,400.0
425,Banese me qira ne lagjen Tophane_2+1,Prishtine,2,72.0,350.0
426,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,75.0,400.0
427,Banese me qira ne lagjen Ulpiana,Prishtine,1,60.0,250.0
428,Banese me qira ne lagjen Mati 1,Prishtine,2,90.0,350.0
429,Banese me qira ne Qender,Prishtine,2,70.0,350.0
430,Banese me qira ne lagjen Emshir 2+1,Prishtine,2,108.0,420.0
431,Banese me qira ne lagjen Emshir 2+1,Prishtine,2,110.0,400.0
432,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,58.0,270.0
433,Banese me qira ne Qender 2+1,Prishtine,2,80.0,350.0
434,Banese me qira ne lagjen Bregu i Diellit 3+1,Prishtine,3,108.0,400.0
435,Banese me qira ne lagjen Arberia 3+1,Prishtine,3,120.0,500.0
436,Banese me qira ne lagjen Mati 1 1+1,Prishtine,3,111.0,500.0
437,Super banese me qera ne Arberi,Prishtine,1,64.0,280.0
438,Super banese me qera ne Qender,Prishtine,2,85.0,300.0
439,Banese me qira ne lagjen Arberia,Prishtine,1,64.0,300.0
440,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,60.0,300.0
441,Banese(Garsoniere) me qira ne lagjen Sllovenia e Sportit,Prishtine,1,30.0,220.0
442,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,60.0,250.0
443,Banese me qira ne lagjen Dardania 1+1,Prishtine,1,45.0,250.0
444,Banese me qira ne lagjen Emshir 2+1,Prishtine,2,90.0,300.0
445,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,70.0,250.0
446,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,90.0,320.0
447,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,90.0,300.0
448,Banese(zyre) me qira ne lagjen Ulpiane 2+1,Prishtine,2,55.0,300.0
449,Banes me Qira ne Dardani,Prishtine,1,50.0,300.0
450,Banes Komode me Qira ne Lagjen e Muhaxherve,Prishtine,2,103.0,500.0
451,Banes Komode me Qira ne Rrugen B te Restorant Loriano,Prishtine,1,65.0,300.0
452,Banes Komode me Qira ne Mat te Frutaria,Prishtine,2,80.0,300.0
453,Jap banesen me qera ne Prishtine,Prishtine,2,40.0,170.0
454,jap banesen me qera,Prishtine,2,40.0,170.0
455,Ofrohet me Qira Banesa Moderne 85m2 ne Breg Diellit DREAM HOME,Prishtine,3,85.0,750.0
456,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,66.0,350.0
457,Banese me qira ne lagjen Aktash 1+1,Prishtine,1,58.0,250.0
458,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,94.0,400.0
459,Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,54.0,230.0
460,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,68.0,350.0
461,Banese me qira ne lagjen Muhaxhereve 1+1,Prishtine,1,60.0,300.0
462,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,95.0,350.0
463,Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,58.0,250.0
464,"Hapesire banimi me qera, magjistralja. Ferizaj-Kacanik",Ferizaj,2,50.0,110.0
465,Banesa 85m2 me qira te Muharrem Fejza ROZI,Prishtine,3,85.0,350.0
466,Banese me qira ne lagjen Ulpiana,Prishtine,1,50.0,250.0
467,Banese me qira ne lagjen Emshir,Prishtine,2,95.0,500.0
468,Banese me qira ne Lagje te Muhaxhereve_2+1,Prishtine,2,100.0,400.0
469,Banese me qira ne lagjen Arberia,Prishtine,2,100.0,250.0
470,Banese me qira ne lagjen Emshir,Prishtine,2,75.0,300.0
471,Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,65.0,270.0
472,Banese me qira ne Mati 1,Prishtine,1,60.0,300.0
473,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,101.0,300.0
474,Banese me qira ne lagjen Rruga B,Prishtine,2,88.0,450.0
475,Banese me qira ne lagje te Muhaxhereve,Prishtine,2,86.0,450.0
476,Banesa 55m2 me qira te Mati 1 ROZI,Prishtine,1,55.0,250.0
477,Banese me qira ne Tophane,Prishtine,1,60.0,250.0
478,Banes me qira ne Breg te Diellit moderne,Prishtine,1,65.0,350.0
479,Super ofert banes me qira te Parku i Qytetit 190,Prishtine,1,60.0,190.0
480,Super Banese 2+1,Prishtine,2,73.0,300.0
481,Banese me qira ne Arberi 2+1,Prishtine,2,70.0,230.0
482,Extra banes me qira ne Qender,Prishtine,1,70.0,320.0
483,Banes me qira ne Dardani komode,Prishtine,1,65.0,300.0
484,Banes me qira te Qafa kati i 2-te,Prishtine,2,75.0,250.0
485,Banes me qira (kate shtepie) Arberi,Prishtine,1,65.0,230.0
486,Banes e re me qira ne Tophane,Prishtine,2,80.0,350.0
487,Banes komode me qira te Parku i Qytetit,Prishtine,1,60.0,230.0
488,Banes me qira ne Breg te Diellit,Prishtine,2,70.0,300.0
489,Banes me qira te 4 Llullat mobiluar,Prishtine,2,75.0,320.0
490,Banes moderne me qira ne Emshir,Prishtine,2,80.0,300.0
491,Banes me qira Mrapa Teatrit Kombetar-4 Lullat,Prishtine,1,60.0,280.0
492,Banes me qira ne Emshir,Prishtine,2,80.0,300.0
493,Banes komode me qira ne Emshir,Prishtine,1,60.0,250.0
494,Banes moderne me qira ne Arberi,Prishtine,1,65.0,240.0
495,Banese me qera ne Mati 1 3+1,Prishtine,3,88.0,300.0
496,Banes komode me qira ne Mati 1,Prishtine,2,70.0,270.0
497,Banes me qira ne Ulpiane e pershtatshme per zyre,Prishtine,2,70.0,350.0
498,Banes me qira ne lagje te Muhaxhereve,Prishtine,1,60.0,250.0
499,Banese komode me qira ne Ulpiane,Prishtine,1,60.0,300.0
500,Banes me qira ne Ulpiane,Prishtine,1,65.0,250.0
501,Banes e re me qira ne Rrugen B,Prishtine,1,65.0,220.0
502,Banes me qira te 4 Llullat 1+1,Prishtine,1,60.0,240.0
503,Banes me qira ne Qender,Prishtine,1,40.0,250.0
504,Banes me qira ne Mati 1,Prishtine,1,65.0,240.0
505,Banes me qira ne Rrugen B 2+1,Prishtine,2,75.0,280.0
506,Banes me qira ne Tophane 2+1,Prishtine,2,75.0,300.0
507,Banese me qira ne Breg te Diellit kompleksi Dafina,Prishtine,2,70.0,300.0
508,Banes me qira ne Rrugen B banesat e Inxhinieringut,Prishtine,2,83.0,250.0
509,Banes me qira ne Mati 1,Prishtine,1,67.0,250.0
510,Banese me qira te Sllovenia Sporti,Prishtine,1,45.0,230.0
511,Banes komode me qira ne Ulpiane,Prishtine,1,65.0,250.0
512,Banes moderne me qira te Sllovenia Sporti,Prishtine,1,65.0,250.0
513,Banes me qira ne Qender,Prishtine,1,65.0,350.0
514,Banes me qira ne Mati 1 2+1,Prishtine,2,81.0,250.0
515,Banes me qira ne Lagjen e Muhaxhereve 2+1,Prishtine,2,80.0,350.0
516,Banese me qira ne lagje te Muhaxhereve,Prishtine,1,70.0,300.0
517,Banese me qira ne lagjen Emshir,Prishtine,1,55.0,350.0
518,Banese me qira ne lagjen Dardania,Prishtine,1,50.0,330.0
519,Banese me qira ne lagjen Emshir_1+1,Prishtine,1,55.0,350.0
520,Banese me qira ne lagjen Dardani,Prishtine,1,60.0,300.0
521,Banese me qira ne lagjen Emshir_2+1,Prishtine,3,110.0,420.0
522,Banese me qira ne lagjen Emshir,Prishtine,1,65.0,320.0
523,Banese me qira ne lagjen Arberia_2+1,Prishtine,1,85.0,380.0
524,Banese me qira ne lagjen e Muhaxhereve 2+1,Prishtine,2,95.0,400.0
525,Banese me qira ne lagje te Spitalit_3+1,Prishtine,3,103.0,350.0
526,Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,75.0,350.0
527,Banese me qira ne lagjen Tophane,Prishtine,1,65.0,270.0
528,Banese me qira ne lagjen Mati 1_2+1,Prishtine,2,82.0,380.0
529,Banese me qira ne lagjen Dardania_2+1,Prishtine,2,90.0,350.0
530,Banes me qira ne lagjen Lakrishte,Prishtine,1,65.0,300.0
531,Banese me qira ne Emshir,Prishtine,2,90.0,350.0
532,Banese me qira ne Rrugen B_2+1,Prishtine,2,80.0,300.0
533,Banese me qira ne lagjen Bregu i Diellit_3+1,Prishtine,3,110.0,400.0
534,Banese me qira ne Lagjen e Spitalit,Prishtine,1,65.0,250.0
535,Banese me qira ne lagjen Ulpiana,Prishtine,1,65.0,250.0
536,Banese me qira ne lagje te Muhaxhereve,Prishtine,1,65.0,250.0
537,Banese me qira ne lagjen Mati 1,Prishtine,2,77.0,350.0
538,Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,96.0,400.0
539,Banese me qira ne lagjen Dardania_2+1,Prishtine,2,80.0,500.0
540,Banese me qira ne lagjen Rruga B,Prishtine,1,60.0,260.0
541,Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,70.0,250.0
542,Banese me qira ne Lagje te Spitalit,Prishtine,2,80.0,320.0
543,Banese me qira ne lagjen Dardania,Prishtine,1,60.0,250.0
544,Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,85.0,400.0
545,Banese me qira ne lagjen Ulpiana,Prishtine,1,40.0,170.0
546,Banese me qira ne lagjen Emshir,Prishtine,1,55.0,300.0
547,Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,75.0,200.0
548,Banese me qira ne lagjen Arberia,Prishtine,1,67.0,320.0
549,Garsoniere me qera ne lagjen Parku i Qytetit,Prishtine,1,30.0,220.0
550,Banese me qira ne lagjen e Spitalit,Prishtine,2,86.0,400.0
551,Banes (zyre) me qira ne lagjen Qafa,Prishtine,1,35.0,300.0
552,Banese me qira ne lagjen Dardania,Prishtine,3,98.0,600.0
553,Banese me qira ne lagjen Rruga B,Prishtine,2,85.0,370.0
554,Banese me qira ne lagjen Arberia,Prishtine,3,105.0,400.0
555,Banese me qira ne lagjen Emshir,Prishtine,2,100.0,430.0
556,Banese me qira ne lagjen Tukbashqe,Prishtine,1,67.0,200.0
557,Garsoniere me qera ne lagjen Emshir,Prishtine,1,43.0,230.0
558,Banese me qira ne Lagjen e Spitalit 2+1,Prishtine,2,86.0,400.0
559,Banese me qira ne Qender 2+1,Prishtine,2,90.0,400.0
560,Banese me qira ne lagjen Dardania 1+1,Prishtine,1,75.0,350.0
561,Banese me qira ne lagjen Mati 1 3+1,Prishtine,3,118.0,460.0
562,Banese me qira ne Lagjen e Spitalit 2+1,Prishtine,2,75.0,300.0
563,Banese me qira ne lagjen e Muhaxhereve 2+1,Prishtine,2,76.0,400.0
564,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,60.0,270.0
565,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,86.0,450.0
566,Banese me qira ne lagjen Tophane 2+1,Prishtine,2,80.0,300.0
567,Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,89.0,500.0
568,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,92.0,500.0
569,Banese me qira ne lagjen Arberia,Prishtine,2,90.0,450.0
570,Banese me qira ne lagjen Mati 1 3+1,Prishtine,3,110.0,450.0
571,Banese me qira ne lagjen Ulpiane 2+1,Prishtine,2,65.0,400.0
572,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,57.0,300.0
573,Banes� me qira n� lagjen Arberia 2+1,Prishtine,2,87.0,450.0
574,Banese me qira ne lagjen Ulpiane 2+1,Prishtine,2,70.0,250.0
575,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,50.0,260.0
576,Banese me qira ne lagjen Emshir 2+1,Prishtine,2,70.0,300.0
577,Banese me qira ne lagjen Aktash,Prishtine,1,60.0,350.0
578,Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,80.0,500.0
579,Banese me qira ne Rrugen C_2+1,Prishtine,2,85.0,650.0
580,Banese me qira ne lagjen Aktash_3+1,Prishtine,3,120.0,500.0
581,Banese me qira ne lagjen Arberia,Prishtine,1,60.0,250.0
582,Banese me qira te Qafa_2+1,Prishtine,2,90.0,320.0
583,Banese me qira ne lagjen Arberia,Prishtine,1,58.0,290.0
584,Banese me qira ne Mati 1_2+1,Prishtine,2,95.0,550.0
585,Banese me qira ne lagjen Dardania,Prishtine,1,40.0,250.0
586,Banese me qira ne lagjen Tophane_3+1,Prishtine,3,100.0,500.0
587,Banese me qira ne lagjen Tophane,Prishtine,2,84.0,500.0
588,Banese me qira ne lagjen Rruga B_2+1,Prishtine,2,65.0,300.0
589,Banese me qira ne lagjen Ulpiana,Prishtine,1,60.0,250.0
590,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,75.0,330.0
591,Banese me qira te Rruga B_2+1,Prishtine,2,93.0,400.0
592,Banese me qira ne lagjen Bregu i Diellit_2+1,Prishtine,2,90.0,400.0
593,Banese me qira ne Ulpiane,Prishtine,1,70.0,250.0
594,Banese me qira ne lagjen Arberia,Prishtine,1,55.0,280.0
595,Banese me qira ne lagjen Sllovenia Sporti,Prishtine,1,55.0,250.0
596,Banese me qira ne Qender,Prishtine,1,65.0,350.0
597,Banese me qira ne lagjen Arberia_3+1,Prishtine,3,140.0,1000.0
598,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,89.0,500.0
599,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,90.0,350.0
600,Banese me qira ne lagjen Dardania,Prishtine,2,72.0,280.0
601,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,90.0,750.0
602,Banese me qira ne lagjen Arberia,Prishtine,1,65.0,280.0
603,Banese me qira ne Rrugen C_2+1,Prishtine,2,85.0,360.0
604,Banese me qira ne lagjen Pejton_2+1,Prishtine,2,86.0,600.0
605,Banese me qira ne Rrugen B_2+1,Prishtine,2,91.0,500.0
606,Banese me qira ne lagjen Tophane,Prishtine,1,60.0,300.0
607,Banese me qira ne Lagje te Spitalit,Prishtine,1,65.0,300.0
608,Banese me qira ne lagjen Ulpiana,Prishtine,1,50.0,200.0
609,Banese me qira ne lagjen Ulpiana_2+1,Prishtine,2,96.0,400.0
610,Banese me qira ne Rrugen B,Prishtine,2,75.0,350.0
611,Banese me qira ne lagjen Arberia,Prishtine,1,58.0,350.0
612,Banese me qira ne Lagjen e Spitalit_2+1,Prishtine,2,80.0,400.0
613,Banese me qira ne lagjen Mati 1,Prishtine,1,50.0,200.0
614,Banese me qira ne lagjen Mati 1_2+1,Prishtine,2,100.0,300.0
615,Banese (zyre) me qira ne Arberi,Prishtine,2,114.0,400.0
616,Banese me qira ne lagjen Dardania,Prishtine,2,78.0,350.0
617,Banese me qira te Rruga B,Prishtine,1,50.0,250.0
618,Banese me qira ne Rrugen B_2+1,Prishtine,2,83.0,350.0
619,Banese me qira ne Rrugen C_2+1,Prishtine,2,83.0,400.0
620,Banese me qira ne Lagje te Spitalit_2+1,Prishtine,2,80.0,400.0
621,Banese me qira ne lagjen Ulpiana,Prishtine,1,70.0,350.0
622,Banese me qira ne lagjen Arberi,Prishtine,1,55.0,250.0
623,Banese me qira ne lagjen Mati 1_2+1,Prishtine,2,100.0,300.0
624,Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,70.0,350.0
625,Banese me qira ne lagjen Ulpiana_2+1,Prishtine,2,70.0,390.0
626,Banese me qira ne lagjen 4 Llullat(Vellusha) 2+1,Prishtine,2,87.0,350.0
627,Banese me qira ne lagjen Bregu i Diellit_1+1,Prishtine,1,66.0,350.0
628,2 Banesa me qira ne Mati 1_2+1,Prishtine,2,77.0,350.0
629,Banese me qira ne Dardani _2+1,Prishtine,2,85.0,480.0
630,Banese me qira ne lagje te Muhaxhereve_2+1,Prishtine,2,85.0,500.0
631,Banese me qira ne lagjen Bregu i Diellit_2+1,Prishtine,2,90.0,500.0
632,Banese me qera ne Arberi2+1,Prishtine,2,90.0,759.0
633,Banese me qira ne lagjen Arberi_2+1,Prishtine,2,90.0,420.0
634,Banese me qira ne lagjen Spitalit_2+1,Prishtine,2,83.0,400.0
635,Banese me qira ne Lagje te Spitalit,Prishtine,1,70.0,300.0
636,Banese me qira ne Lagjen e Spitalit_2+1,Prishtine,2,87.0,250.0
637,Banese me qira ne lagjen Rruga C_2+1,Prishtine,2,83.0,400.0
638,Banese me qira (zyre) ne lagjen Arberia,Prishtine,4,124.0,500.0
639,Banese me qira ne lagjen Dardani_2+1,Prishtine,2,75.0,320.0
640,Banese me qira ne lagjen Lakrishte,Prishtine,1,68.0,600.0
641,Banese me qira ne lagjen e Spitalit_2+1,Prishtine,2,75.0,350.0
642,Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,65.0,250.0
643,Banese me qira ne lagjen Mati 1,Prishtine,1,65.0,300.0
644,Banese me qira ne Lagje te Spitalit,Prishtine,1,65.0,300.0
645,Banese me qira ne lagjen Dardania_1+1,Prishtine,1,49.0,300.0
646,Banese me qira ne lagjen Mati 1_1+1,Prishtine,1,55.0,230.0
647,Banese me qira ne Lagjen Pejton,Prishtine,1,45.0,250.0
648,Banese me qira ne Lagje te Spitalit_2+1,Prishtine,2,90.0,400.0
649,Banese (zyre) me qira ne lagjen Ulpiana,Prishtine,3,78.0,350.0
650,Banese me qira ne Lagje te Spitalit_1+1,Prishtine,1,65.0,300.0
651,Banese me qira ne lagjen Dardania,Prishtine,1,40.0,270.0
652,Banese me qira ne Lagje te Spitalit_2+1,Prishtine,2,82.0,350.0
653,Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,97.0,550.0
654,Banese me qira ne lagjen Tophane,Prishtine,1,40.0,200.0
655,Banese me qira ne Lagje te Spitalit_1+1,Prishtine,1,60.0,300.0
656,Banese (Gasoniere)me qira ne lagjen Bregu i Diellit,Prishtine,1,25.0,150.0
657,Banese me qira ne Qender 1+1,Prishtine,1,60.0,250.0
658,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,94.0,450.0
659,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,85.0,400.0
660,Banese me qira ne lagjen Arberia 2+1,Peje,2,95.0,450.0
661,Banese me qira ne lagjen Arberia 3+1,Prishtine,3,115.0,450.0
662,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,110.0,390.0
663,Banese (gasonire)me qira ne lagjen e Spitalit 2+1,Prishtine,1,33.0,250.0
664,Banese me qira ne lagjen Qender 1+1,Prishtine,1,75.0,280.0
665,Banese(Zyre )me qira ne lagjen Rruga C 3+1,Prishtine,3,137.0,600.0
666,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,70.0,330.0
667,Banese me qira ne lagjen Mati 1+1,Prishtine,1,70.0,250.0
668,Banese me qira ne lagjen Tophane1+1,Prishtine,1,60.0,300.0
669,Banese me qira ne lagjen e Spitalit 3+1,Prishtine,3,100.0,350.0
670,Banese me qira ne lagjen Tophane 3+1,Prishtine,3,105.0,400.0
671,Banese me qira ne lagjen Mati 1 3+1,Prishtine,3,100.0,460.0
672,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,70.0,350.0
673,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,95.0,350.0
674,Banese me qira ne lagjen Lakrishte 1+1,Prishtine,1,65.0,600.0
675,Banese me qira ne lagjen 4 Llullat 2+1,Prishtine,2,95.0,450.0
676,Banese me qira ne lagjen Rrugen B 2+1,Prishtine,2,90.0,350.0
677,Banese me qira te Xhamia e Llapit 1+1,Prishtine,1,72.0,150.0
678,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,80.0,300.0
679,Banese me qira ne lagjen Arberi 2+1,Prishtine,2,95.0,500.0
680,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,55.0,200.0
681,Banes me qira ne Emshir _2+1,Prishtine,2,92.0,350.0
682,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,60.0,300.0
683,Banes me qira te Sllovenia Sporti 2+1,Prishtine,2,75.0,300.0
684,Banese me qira ne lagjen Ulpiane1+1,Prishtine,1,70.0,330.0
685,Banese me qira ne Emshir_ 2+1,Prishtine,2,84.0,500.0
686,Banese me qira ne lagjen Emshir 2+1,Prishtine,2,85.0,450.0
687,Banese me qira ne Qender 2+1,Prishtine,2,85.0,500.0
688,Banese luksoze me qira ne lagjen Pejton 2+1,Prishtine,2,138.0,700.0
689,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,96.0,350.0
690,Banese me qira ne lagjen Dardani 1+1,Prishtine,1,55.0,300.0
691,Banese me qira ne lagjen Rruga B 1+1,Prishtine,1,55.0,350.0
692,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,85.0,350.0
693,Banese me qira ne lagjen Emshir 2+1,Prishtine,2,120.0,430.0
694,Banese me qira ne lagjen Mati 2+1,Prishtine,2,83.0,350.0
695,Banese me qira ne lagjen Mati 1+1,Prishtine,1,70.0,250.0
696,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,95.0,390.0
697,Banese me qira ne lagjen Qender 1+1,Prishtine,1,40.0,230.0
698,Banese me qira ne lagjen Lagje e Spitalit 1+1,Prishtine,1,67.0,320.0
699,Banese me qira ne lagjen Mati 1 1+1,Prishtine,2,51.0,200.0
700,Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,70.0,250.0
701,Banese me qira ne lagjen Tophane 2+1,Prishtine,2,85.0,400.0
702,Banesa - Zyre 82m2 me qira prane Rruga B ROZI,Prishtine,2,82.0,350.0
703,Jep banes me qira,Fushe Kosove,2,90.0,160.0
704,URGJENT KERKOJ BANESE ME QIA PER 1 QIFT NE FUSHE KOSOVE,Fushe Kosove,2,65.0,220.0
705,Banese me qira ne lagjen Mati 1,Prishtine,2,85.0,250.0
706,Banese me qira ne Lagjen e Spitalit 2+1,Prishtine,2,90.0,300.0
707,Banes me qira ne Qender - sheshi Zahir Pajaziti,Prishtine,1,65.0,280.0
708,Ofrohet banese me qira ne Bregun e Diellit,Prishtine,2,80.0,300.0
709,Leshohet banese me qira ne Bregun e Diellit,Prishtine,1,55.0,200.0
710,Banese me qira ne Bregun e Diellit,Prishtine,1,55.0,250.0
711,Banese me qira ne lagjen Arberia,Prishtine,1,60.0,250.0
712,Banese e re me qira ne Bregun e Diellit,Prishtine,1,60.0,250.0
713,Banese me qira ne Qender 2+1,Prishtine,2,75.0,300.0
714,Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,65.0,200.0
715,Super banese me qira te Qafa,Prishtine,2,86.0,380.0
716,Banese ( Zyre ) me qira ne Qender,Prishtine,1,50.0,400.0
717,Banese me qira ne Lagjen e Spitalit 1+1,Prishtine,1,50.0,200.0
718,Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,67.0,240.0
719,Super banese me qira te Rruga B,Prishtine,1,56.0,250.0
720,Ekstra banese me qira ne Rrugen C,Prishtine,3,125.0,350.0
721,Banese me qira te Rruga B,Prishtine,2,78.0,300.0
722,Banese me qira ne lagjen Ulpiana,Prishtine,2,63.0,250.0
723,Leshohet banese me qira ne Bregun e Diellit,Prishtine,2,80.0,300.0
724,Banes me qira ne Rrugen B kompleksi Royal,Prishtine,1,50.0,250.0
725,Banes me qira ne Tokbashqe 2+1,Prishtine,2,85.0,230.0
726,Banes komode me qira ne Emshir,Prishtine,1,45.0,220.0
727,Oferte Banes me qira ne ARBERI,Prishtine,1,65.0,200.0
