,property_description,number of rooms,quadrat (m^2),date,price (euro),region_Prishtine,region_other region in kosove,seasons_Autumn,seasons_Spring,seasons_Summer,seasons_Winter,neighborhood_Aktash,neighborhood_Arbëria (Dragodani),neighborhood_Bregu i Diellit,neighborhood_Dardania,neighborhood_Kalabria,neighborhood_Lagjen e Spitalit,neighborhood_Lagjja e Muhaxherëve,neighborhood_Lakrishta,neighborhood_Other,neighborhood_Qafa,neighborhood_Qendra,neighborhood_Tophane,neighborhood_Ulpiana
6428,leshohet banesa me qira ne fushkosov,2,82.0,2023-01-26,260.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6429,ipet banesa me qira,1,60.0,2023-01-26,250.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6430,leshohet banesa me qira tek parku i qytetit,1,75.0,2023-01-26,280.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6431,leshohet banesa me qira ne lakrisht tek procredit banka,1,55.0,2023-01-26,200.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6432,banes me qira ne bregun diellit,1,50.0,2023-01-26,280.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6433,banes me qira ne matin 1,2,95.0,2023-01-26,600.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6434,banes me qira te sllovenia sportit,1,65.0,2023-01-26,350.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6435,banes me qira ne dragodan,2,89.0,2023-01-26,450.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6436,banes me qira ne aktash,1,60.0,2023-01-26,350.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6437,banes me qira n emshir  kalabri,4,120.0,2023-01-26,450.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6438,banes luksoze me qira n pejton,3,140.0,2023-01-26,700.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6439,banese 21 te prishtina e re,2,82.0,2023-01-26,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6440,banese 11 ne dardani,1,62.0,2023-01-26,250.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6441,banes 21 n rrugen c,2,77.0,2023-01-26,450.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6442,banes 21 n fush kosov,2,87.0,2023-01-26,260.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6443,banesa me qera ne lagjen tophane,3,110.0,2023-01-26,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6444,banes komode me qira ne tophane te albi market,2,89.0,2023-01-26,450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6445,banes moderne me qira ne aktash te konaku,1,57.0,2023-01-26,400.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6446,banes komode me qira ne rrugen c,1,70.0,2023-01-26,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6447,banes komode me qira ne kalabri me termokos,2,95.0,2023-01-26,350.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6448,banes me qira pa mobile ne tophane  100 m2,3,100.0,2023-01-26,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6449,banesa me qera ne fushkosove,3,80.0,2023-01-25,250.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6450,banes me qira n dardani,3,80.0,2023-01-25,500.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6451,banes me qira n lagjen e spitalit,2,57.0,2023-01-25,240.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6452,banesa me qera ne lagjen mati 1,2,58.0,2023-01-25,250.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6453,banesa me qera ne fushkosove,2,58.0,2023-01-25,220.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6454,banes me qira ne lagjen e spitalit,1,55.0,2023-01-25,230.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6455,banese me qira per zyre,2,62.0,2023-01-24,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6456,banes me qira te muhaxhert,3,90.0,2023-01-24,550.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6457,banes me qira n rrugn c,2,90.0,2023-01-24,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6458,banes me qira n lagjen e spitalit,2,80.0,2023-01-24,400.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6459,banes me qira n mat,1,58.0,2023-01-24,250.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6460,dy banesa me qera tek prishtina e re,3,71.0,2023-01-24,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6461,banes me qira n kalabri  emshir,2,75.0,2023-01-24,350.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6462,banes me qira n qendr,2,85.0,2023-01-24,420.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6463,banes me qira n lagjen e spitalit,3,80.0,2023-01-24,400.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6464,banesa per qera ne fushe kosove 200 euro,2,65.0,2023-01-24,200.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6465,banese me qira ne breg te diellit 21,2,75.0,2023-01-23,250.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6466,banesa me qera ne lagjen velania,2,75.0,2023-01-23,200.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6467,banesa me qera ne lagjen mati 1,3,90.0,2023-01-23,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6468,banesa me qera ne lagjen e muhagjerve,3,88.0,2023-01-23,200.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6469,banes me qira n lagjen e spitalit,1,60.0,2023-01-23,300.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6470,banes zyre me qira n lagjen e spitalit,3,110.0,2023-01-23,400.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6471,banes me qira te rruga c,1,60.0,2023-01-23,300.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6472,banes me qera ne mati i,3,89.0,2023-01-23,450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6473,banes me qira tek parku i qytetit,2,82.0,2023-01-23,300.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6474,banes me qira tek parku i qytetit,3,83.0,2023-01-23,300.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6475,banes zyre me qira n rrugen b,2,83.0,2023-01-23,400.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6476,banese me qera ne lagjen dardania,3,89.0,2023-01-23,500.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6477,banes me qera n lagjen qendr mbi lulus coffee 3199,2,65.0,2023-01-23,450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6478,banes me qira n ulpian,1,62.0,2023-01-23,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6479,banesa 90m2 me qira ne arberi  dragodan rozi,2,90.0,2023-01-23,390.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6480,banesa 37m2 me qira ne ulpiane rozi,1,37.0,2023-01-23,250.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6481,banesa 100m2 me qira te parku i qytetit rozi,2,100.0,2023-01-23,350.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6482,banesa 85m2 me qira ne qender rozi,2,85.0,2023-01-23,330.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6483,ofrohet pr qera banesa n prishtin,2,75.0,2023-01-23,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6484,ofrohet pr qera banesa n prishtin,2,89.0,2023-01-23,450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6485,ofrohet pr qera banesa n prishtin,2,85.0,2023-01-23,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6486,banes me qira n rrugn c,2,82.0,2023-01-22,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6487,banesa 75m2 me qira ne dardani rozi,2,75.0,2023-01-22,300.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6488,banesa 60m2 me qira te muharrem fejza rozi,1,60.0,2023-01-22,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6489,banes me qira ne matin 1,2,84.0,2023-01-21,450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6490,banes me qira ne matin 1,1,60.0,2023-01-21,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6491,kat shtepie me qira ne rrugen haxhi zeka,2,80.0,2023-01-21,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6492,banes me qira ne lagjen kodrina,2,78.0,2023-01-21,310.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6493,banes me qira ne matin 1,1,65.0,2023-01-21,250.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6494,banes me qira ne dardani,1,60.0,2023-01-21,250.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6495,banes me qira ne matin 1,3,98.0,2023-01-21,270.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6496,banes me qira ne dardani,2,60.0,2023-01-21,400.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6497,banes me qira bregu diellit,1,65.0,2023-01-21,250.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6498,banes me qira te muhaxhert,2,90.0,2023-01-21,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6499,banes zyre me qira n lagjen e spitalit,3,110.0,2023-01-21,350.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6500,banes me qira n lagjen e spitalit,1,60.0,2023-01-21,300.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6501,banesa me qira n lagjen e spitalit,2,90.0,2023-01-21,300.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6502,banes me qira n rrugen c,2,90.0,2023-01-21,420.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6503,banes me qira n arbri  dragodan,2,90.0,2023-01-21,470.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6504,banes me qira n rrugn b,1,60.0,2023-01-21,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6505,banes me qira n lagjen e spitalit,1,50.0,2023-01-21,230.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6506,banes me qira n qendr,1,60.0,2023-01-21,320.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6507,banes me qira te muhaxhert,3,90.0,2023-01-21,550.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6508,banes me qira te qafa,1,60.0,2023-01-21,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6509,banesa 94m2 me qira ne aktash rozi,3,94.0,2023-01-20,700.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6510,banesa me qira n lagjen e spitalit,2,55.0,2023-01-20,230.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6511,banese me qera ne lagjen emshir,4,120.0,2023-01-20,450.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6512,banes me qira te rruga c,1,60.0,2023-01-20,300.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6513,banes me qira n lagjen e spitalit,1,63.0,2023-01-20,300.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6514,banes zyre me qira n lagjen e spitalit,3,110.0,2023-01-20,400.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6515,lshohet pr qera banesa pr zyre n prishtin,2,90.0,2023-01-20,450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6516,ofrohet pr qera banesa n prishtin,1,45.0,2023-01-20,220.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6517,banes me qira n arbri  dragodan,3,90.0,2023-01-20,470.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6518,banese me qera tek prishtina e re,3,83.0,2023-01-20,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6519,leshohet banesa me qira ne fushkosov tek fanari,1,70.0,2023-01-19,220.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6520,baneszyre me qera n lagjen aktash kompleksi inon 3106,3,88.0,2023-01-19,400.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6521,ofrohet me qira banesa 85m te rruga b  dream home,3,85.0,2023-01-19,320.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6522,lshohet pr qera banesa pr zyre n prishtin,2,86.0,2023-01-19,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6523,banes me qira n lagjen e spitalit,1,63.0,2023-01-19,300.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6524,banesa me qera ne rrugen b,3,90.0,2023-01-19,300.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6525,banesa 95m2 me qira ne kalabri  emshir rozi,2,95.0,2023-01-19,350.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6526,banesa 43m2 me qira te muhaxheret rozi,1,43.0,2023-01-19,300.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6527,banes me qira ne emshir,1,60.0,2023-01-18,300.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6528,banesa me qera ne rrugen b,3,98.0,2023-01-18,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6529,banes me qira n lagjen e spitalit,1,55.0,2023-01-18,250.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6530,banes me qira ne qender te 4 llullat,2,100.0,2023-01-18,450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6531,banes 3 dhomshe me qira pa mobile ne mat  me termokos,3,104.0,2023-01-18,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6532,banes me qira ne rrugen b me termokos,1,65.0,2023-01-18,300.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6533,banes 3 dhomshe me qira ne arberi e sapomobiluar,3,110.0,2023-01-18,450.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6534,banes zyre me qira n lagjen e spitalit,3,110.0,2023-01-18,350.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6535,banesa me qera ne fushkosove,3,84.0,2023-01-18,270.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6536,banesa me qera ne lagjen arberia,2,65.0,2023-01-18,320.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6537,banes me qira n lagjen e spitalit,2,57.0,2023-01-18,250.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6538,banes me qira te pallati i drejtsis,1,68.0,2023-01-18,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6539,ofrohet pr qera banesa n prishtin,1,65.0,2023-01-18,200.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6540,banesa 90m2 me qira te bregu i diellit rozi,2,90.0,2023-01-18,600.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6541,banesa 71m2 me qira te bregu i diellit rozi,2,71.0,2023-01-18,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6542,banesa 60m2 me qira ne ulpiane rozi,1,60.0,2023-01-18,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6543,banes me qira n dardani,2,80.0,2023-01-17,400.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6544,banes me qira n qendr,1,60.0,2023-01-17,280.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6545,banese me qira ne lagjen e spitalit,1,73.0,2023-01-17,300.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6546,banese me qira te 4 llullat,1,70.0,2023-01-17,370.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6547,banes me qira n qendr,3,80.0,2023-01-17,330.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6548,banesa me qera ne lagjen aktash,3,93.0,2023-01-17,450.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6549,banesa me qera ne lagjen ulpiana,3,80.0,2023-01-17,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6550,banes me qera n lagjen arbria pran ambasads s ameriks 3126,2,57.0,2023-01-17,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6551,banesa me qera ne lagjen mati 1,3,98.0,2023-01-17,450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6552,banes me qira te muhaxhert,2,90.0,2023-01-17,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6553,banes me qira n dardani,3,90.0,2023-01-17,300.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6554,banes me qira n dardani,3,90.0,2023-01-17,400.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6555,lokal 50m2 me qira te bregu i diellit rozi,1,50.0,2023-01-17,450.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6556,banesa per qera ne tophane 21,3,85.0,2023-01-17,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6557,ofrohet me qira banesa 60m ne ulpiane  dream home,2,60.0,2023-01-16,280.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6558,ofrohet me qira banesa 52m te mati 1  dream home,2,52.0,2023-01-16,250.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6559,banes me qira n emshir,2,90.0,2023-01-16,350.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6560,banesa me qera ne fushkosove,2,65.0,2023-01-16,180.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6561,banesa me qera ne rrugen b,3,98.0,2023-01-16,550.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6562,banes me qira n bregun e diellit,2,80.0,2023-01-16,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6563,banesa 80m2 me qira te bregu i diellit rozi,2,80.0,2023-01-16,450.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6564,banesa 70m2 me qira te bregu i diellit rozi,1,70.0,2023-01-16,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6565,banes me qira n qendr,2,90.0,2023-01-16,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6566,banese me qera ne parkun e qytetit,3,100.0,2023-01-16,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6567,banesa me qera ne fushkosove,2,60.0,2023-01-16,200.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6568,banes me qira n qendr,1,70.0,2023-01-16,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6569,banesa me qera ne fushkosove,3,87.0,2023-01-16,280.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6570,banes me qira n qendr,1,60.0,2023-01-16,320.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6571,banesa 65m2 me qira ne qender rozi,2,65.0,2023-01-16,330.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6572,banesa 60m2 me qira ne ulpiane rozi,1,60.0,2023-01-16,280.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6573,banesa 53m2 me qira te muhaxheret rozi,1,53.0,2023-01-16,350.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6574,banes me qera n lagjen bregu i diellit afr banesave t standardit 3175 impact,3,95.0,2023-01-16,400.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6575,banes me qera n lagjen bregu i diellit va residence 3285,3,90.0,2023-01-16,400.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6576,ofrohet pr qera banesa n prishtin,2,49.0,2023-01-16,250.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6577,banesa 75m2 me qira ne lakrishte rozi,2,75.0,2023-01-15,530.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6578,banesa 60m2 me qira ne dardani rozi,1,60.0,2023-01-15,400.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6579,banese me qira ne lagje te spitalit31,3,120.0,2023-01-15,790.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6580,banese me qira ne lagjen bregu i diellit 31,3,116.0,2023-01-15,500.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6581,lokal me qira te parku i qytetit,1,60.0,2023-01-15,700.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6582,banese me qira ne lagjen arberia 31,3,124.0,2023-01-15,500.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6583,banese me qira ne lagjen lakrishte 11,1,50.0,2023-01-15,200.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6584,banese me qira ne lagjen dardania11,1,50.0,2023-01-15,300.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6585,banese me qira ne lagjen mati 121,2,90.0,2023-01-15,400.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6586,banese me qira te qafa11,1,60.0,2023-01-15,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6587,banese me qira ne lagjen arberia21,2,92.0,2023-01-15,430.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6588,banese me qira ne lagje te spitalit 31,3,117.0,2023-01-15,350.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6589,banes me qira tek parku i qytetit,2,80.0,2023-01-14,330.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6590,banes me qira n qendr,2,90.0,2023-01-14,380.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6591,banes me qera n tophane,1,70.0,2023-01-14,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6592,banes me qira n dardani,1,60.0,2023-01-14,300.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6593,banes me qira te muhaxhert,2,84.0,2023-01-14,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6594,leshohet banesa me qira ne fushkosov,1,80.0,2023-01-14,220.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6595,leshohet kati i shtepis me qira ne dragodan tek ambasada gjermane,2,90.0,2023-01-14,230.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6596,banes me qira n emshir  kalabri,1,50.0,2023-01-14,350.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6597,banes me qira n arbri dragodan,2,90.0,2023-01-14,450.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6598,banes me qira n aktash,1,60.0,2023-01-14,350.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6599,banes me qira n emshir  kalabri,2,80.0,2023-01-14,350.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6600,banesa me qera ne fushkosove,2,58.0,2023-01-13,200.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6601,banes me qira n bregun e diellit,3,80.0,2023-01-13,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6602,banes me qira n bregun e diellit,2,80.0,2023-01-13,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6603,banes me qira te muhaxhert,1,50.0,2023-01-13,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6604,banes me qira n arbri dragodan,3,89.0,2023-01-13,450.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6605,banes me qira te prishtina e re,1,65.0,2023-01-13,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6606,banesa 53m2 me qira te muhaxheret rozi,1,53.0,2023-01-13,350.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6607,banesa 71m2 me qira te bregu i diellit rozi,1,71.0,2023-01-12,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6608,banes me qira n bregun e diellit,3,100.0,2023-01-12,300.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6609,banes me qira n qendr,3,89.0,2023-01-12,370.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6610,banese me qera ne bregun e diellit,3,71.0,2023-01-12,350.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6611,banese me qera tek prishtina e re,3,93.0,2023-01-12,350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6612,lshohet banesa me qira  bregu i diellit,2,90.0,2023-01-12,250.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
